Name,AXA Category,Organiser,Length (Hours),Avg. User Rating,Total Enrollments,Total Ratings,Difficulty,Public URL,AXA URL
AI For Everyone,"AXA Learning Week - Customer Experience, Most Popular Courses, Data Science",deeplearning.ai,9,4.848530519969857,218093,7962,Beginner,https://www.coursera.org/learn/ai-for-everyone,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=daG-a-O1EeijKBISCWxf6g&productType=course&showMiniModal=true
IA para todos,AXA Learning Week - Customer Experience,deeplearning.ai,10,4.895705521472393,3409,163,Beginner,https://www.coursera.org/learn/ai-for-everyone-es,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=-dStqHwLEemRuwqxTtPkKg&productType=course&showMiniModal=true
Design Thinking for Innovation,"AXA Learning Week - Customer Experience, Innovation and New Trends",University of Virginia,10,4.619523669508968,195967,3401,Beginner,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=opCIcU3SEeWeiwqPB940Pw&productType=course&showMiniModal=true
AWS Fundamentals: Going Cloud-Native,"AXA Learning Week - Customer Experience, New Courses, Data Engineering And Cloud",Amazon Web Services,7,4.663882063882064,63227,2035,Beginner,https://www.coursera.org/learn/aws-fundamentals-going-cloud-native,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=Ye5LYpXGEeir-RIKs5gHUA&productType=course&showMiniModal=true
Customer Value in Pricing Strategy,"AXA Learning Week - Customer Experience, Marketing and Customer","University of Virginia, BCG",21,4.83419689119171,6102,193,Beginner,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-customer-value,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=a4IUMIDiEeaztxKMUHWbjQ&productType=course&showMiniModal=true
Innovating in a Digital World,"AXA Learning Week - Customer Experience, Innovation and New Trends, French Selection",Institut Mines-Télécom,10,4.576856649395509,32651,579,Mixed,https://www.coursera.org/learn/innovating-digital-world,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=8GTGgDxOEeWdUgozVKt3nw&productType=course&showMiniModal=true
Marketing in a Digital World,"AXA Learning Week - Customer Experience, Marketing and Customer, Portuguese Selection, Spanish Selection, Turkish Selection, Turkish Selection, Chinese Selection",University of Illinois at Urbana-Champaign,29,4.658656204021579,252157,6117,Beginner,https://www.coursera.org/learn/marketing-digital,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=FDKAdNsuEeSEcyIAC2mPOQ&productType=course&showMiniModal=true
Branding and Customer Experience,"AXA Learning Week - Customer Experience, Marketing and Customer",IE Business School,17,4.574074074074074,4096,54,Intermediate,https://www.coursera.org/learn/branding-and-cx,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=jqT6nrHfEeiG4w7I1UJuRA&productType=course&showMiniModal=true
Introduction to Blockchain Technologies,"AXA Learning Week - Customer Experience, New Courses, Business Foundations",INSEAD,17,4.771367521367521,9832,468,Beginner,https://www.coursera.org/learn/introduction-blockchain-technologies,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=gVpG7_yEEeijdwpv8TGaaA&productType=course&showMiniModal=true
User Experience: Research & Prototyping,"AXA Learning Week - Customer Experience, Design Product and Software",University of California San Diego,11,4.563564875491481,29835,763,Mixed,https://www.coursera.org/learn/user-research,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=Z3yHdBVBEeWvmQrN_lODCw&productType=course&showMiniModal=true
Human-Centered Design: an Introduction,"AXA Learning Week - Customer Experience, Design Product and Software, Korean Selection, Spanish Selection",University of California San Diego,16,4.675422138836773,85925,2132,Mixed,https://www.coursera.org/learn/human-computer-interaction,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=DDBg7AlXEeWTSSIAC0MDtg&productType=course&showMiniModal=true
Introduction to User Experience Principles and Processes,"AXA Learning Week - Customer Experience, Design Product and Software",University of Michigan,20,4.828651685393258,10097,356,Beginner,https://www.coursera.org/learn/introtoux-principles-and-processes,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=08UO2&currentTab=CATALOG&productId=fZGtX7LUEeilNhJ2KR9bNg&productType=course&showMiniModal=true
Managing Project Risks and Changes,"AXA Learning Week - Customer Mindset, Most Popular Courses, Project Management Change Agile","University of California, Irvine",4,4.691341528594335,61530,3742,Mixed,https://www.coursera.org/learn/project-risk-management,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=L7stsPOKEeSlpiIAC7NwBA&productType=course&showMiniModal=true
Giving Helpful Feedback,"AXA Learning Week - Customer Mindset, Most Popular Courses, Leadership and Management, Spanish Selection",University of Colorado Boulder,7,4.718498659517426,14966,373,Mixed,https://www.coursera.org/learn/feedback,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=HUJ11BnoEeWg_RJGAuFGjw&productType=course&showMiniModal=true
(Giving Helpful Feedback) ????? ????????? ???????,AXA Learning Week - Customer Mindset,University of Colorado Boulder,7,4.805194805194805,807,77,Mixed,https://www.coursera.org/learn/feedback-ar,https://www.coursera.org/programs/axa-global-launch-6kaid?authProvider=axa&collectionId=4EaF6&currentTab=CATALOG&productId=ZdWYJOevEeiVEwrPEMq3gg&productType=course&showMiniModal=true
